,8,32,60,24,44,12,84,20,52,40,72,64,1,68,56,36,48,16,76,28,80,11,27,3,71,75,31,15,59,83,19,87,39,63,35,47,67,43,51,23,55,79,10,18,78,82,22,86,46,58,2,62,38,66,70,26,54,14,6,50,30,74,42,4,49,21,45,0,69,25,81,29,85,53,13,61,33,41,77,17,65,57,73,37
temperature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
temperature,,-16.0,-15.0,-14.0,-13.0,-21.0,-9.0,16.0,-25.0,-7.0,-6.0,-5.0,-4.0,-4.0,-3.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,,-19.0,-17.0,-15.0,-13.0,4.0,-16.0,-10.0,-9.0,6.0,-21.0,-6.0,-8.0,-3.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,,-6.0,-5.0,-5.0,2.0,-8.0,-5.0,-5.0,4.0,-13.0,-4.0,-4.0,-4.0,-4.0,-4.0,-3.0,-5.0,-3.0,2.0,-6.0,-2.0,,-13.0,-12.0,-11.0,-10.0,-9.0,9.0,-18.0,-7.0,-6.0,-5.0,6.0,-11.0,-4.0,-8.0,-3.0,-2.0,-2.0,-2.0,-2.0,-2.0
